cource,group,stream,sex,age,ss,interest,os,weekend_study,bad_sleep,glasses,work_experience,ai,height,anime,social,sport,miss,study_form,foot_size,eye_color,score,retake,hostel,literature
4,13,Прикладная информатика,Ж,21.0,Нет,Программирование,MacOS,Да,Да,Да,Меньше года,ChatGPT,160.0,Нет,Интроверт,Вообще нет,2.0,Платная,36.0,Карие,8.5,0,"Нет, я из регионов",Да
4,13,Прикладная информатика,М,30.0,Нет,Программирование,Linux,Да,Нет,Нет,более 2 лет,дядя Степа aka Каланча,220.0,Нет,Экстраверт,"Да, я спортсмен",0.0,Бюджет,50.0,Голубые,10.0,0,Да,Да
4,13,Прикладная информатика,Ж,21.0,Нет,Программирование,MacOS,Нет,Да,Да,1-2 года,ChatGPT,164.0,Нет,Интроверт,Вообще нет,25.0,Платная,39.0,Карие,6.9,0,"Нет, я из Минска",Да
4,2,Информатика,М,20.0,Нет,Программирование,Linux,Да,Да,Нет,Меньше года,Qwen,175.0,Да,Интроверт,Вообще нет,5.0,Бюджет,42.0,Карие,6.6,0,"Нет, я из регионов",Нет
4,2,Информатика,М,20.0,Нет,Программирование,Windows,Нет,Да,Да,Меньше года,ChatGPT,195.0,Да,Интроверт,"Редко, легкая физкультура",5.0,Бюджет,48.0,Голубые,7.0,0,"Нет, я из Минска",Да
4,2,Информатика,М,20.0,Нет,Программирование,Windows,Да,Да,Нет,Не работаю,DeepSeek,187.0,Нет,Интроверт,"Редко, легкая физкультура",1.0,Бюджет,43.0,Карие,8.5,0,"Нет, я из регионов",Нет
4,2,Информатика,М,21.0,Нет,Программирование,Linux,Да,Нет,Нет,более 2 лет,Cursor,195.0,Нет,Экстраверт,"Да, я спортсмен",20.0,Бюджет,45.0,Голубые,6.7,0,"Нет, я из Минска",Нет
4,2,Информатика,М,20.0,Нет,Программирование,Linux,Да,Да,Да,1-2 года,Gemini,190.0,Нет,Экстраверт,"Да, я спортсмен",40.0,Бюджет,45.0,Голубые,8.0,0,"Нет, я из Минска",Нет
4,2,Информатика,Ж,20.0,Нет,Программирование,Windows,Да,Да,Да,Меньше года,DeepSeek,168.0,Да,Интроверт,Вообще нет,7.0,Бюджет,39.0,Карие,7.0,0,Да,Да
4,2,Информатика,М,20.0,Да,Программирование,Linux,Да,Да,Нет,1-2 года,ChatGPT,176.0,Нет,Интроверт,"Да, я спортсмен",20.0,Бюджет,37.0,Зеленые,7.0,0,"Нет, я из регионов",Да
